Console Name,Type,Company,Generation,Released Year,Units sold (million),Consumer Price (USD),Consumer Price (AUD),Manufacturing Price (USD)
Xbox 360,Home,Microsoft,7th Gen,2005,84.0,400,500,552.27
Nintendo Wii,Home,Nintendo,7th Gen,2006,101.0,250,400,160
PlayStation 3,Home,Sony,7th Gen,2007,117.0,500,1000,805
Nintendo Wii U,Home,Nintendo,8th Gen,2012,14.0,350,430,180
Xbox One,Home,Microsoft,8th Gen,2013,58.0,500,600,471
PlayStation 4,Home,Sony,8th Gen,2013,117.0,400,550,381
Nintendo Switch,Hybrid,Nintendo,9th Gen,2017,138.0,300,470,257
Xbox Series S,Home,,9th Gen,2020,15.0,300,500,350
Xbox Series X,Home,Microsoft,9th Gen,2020,14.0,500,750,600
PlayStation 5,Home,Sony,9th Gen,2020,75.0,500,750,450
Steam Deck,Handheld,Valve,9th Gen,2022,4.0,400,650,350
Playstation 5 Pro,Home, Sony, 9th Gen,2024,5.0,700,1200,500
Nintendo Switch 2,Hybrid, Nintendo, 10th Gen,2025,6.0,450,700,400


