Year,USD Value v. 2005,Inflation Rate %,Consumer Price of Most Recent Console (USD),Most Recent Console Brand
2005,1.00,3.39,400,XBox
2006,1.03,3.23,250,Nintendo
2007,1.06,2.85,500,Playstation
2008,1.10,3.84,500,Playstation
2009,1.10,-0.36,500,Playstation
2010,1.12,1.64,500,Playstation
2011,1.15,3.16,500,Playstation
2012,1.18,2.07,350,Nintendo
2013,1.19,1.46,400,Playstation
2014,1.21,1.62,500,Xbox
2015,1.21,0.12,500,Xbox
2016,1.23,1.26,500,Xbox
2017,1.26,2.13,300,Nintendo
2018,1.29,2.49,300,Nintendo
2019,1.31,1.76,300,Nintendo
2020,1.33,1.23,500,PS/XB
2021,1.39,4.70,500,PS/XB
2022,1.50,8.00,400,Steam
2023,1.56,4.12,400,Steam
2024,1.61,2.89,700,Playstation
2025,1.65,3.04,450,Nintendo
